Airlift - Description of the internal state
PT    HT	    P00	 P01   P02   P03   P04   P05   P06   P07   P08   P09   P10   P11   P12   P13   P14   P15   P16   P17   P18   P19   P20   InQ   InF   PTAL
ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  05    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  06    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  06    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  07    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  07    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  08    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  08    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  09    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  09    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  10    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  10    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  11    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  11    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  12    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  12    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  13    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  13    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  14    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  14    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  15    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  15    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  16    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  16    00    00
              

ATRG  WTFL  GTAP  GTAP  GTAP  GTAP  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  INQE  17    00    00
              

