Airlift - Description of the internal state
PT    HT	    P00	 P01   P02   P03   P04   P05   P06   P07   P08   P09   P10   P11   P12   P13   P14   P15   P16   P17   P18   P19   P20   InQ   InF   PTAL
DRPP  WTFL  ATDS  ATDS  INFL  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  02    01    07
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  02    01    07
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  02    00    07
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  02    00    07
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  02    00    08
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  03    00    08
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  03    00    08
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  04    00    08
              

DRPP  WTFL  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  ATDS  INQE  INQE  INQE  INQE  INQE  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  GTAP  04    00    08
              

